id,name,text,trans
0000000000000,{user},少し、コンビニで\n買い物をしていいですか？,能稍微去趟便利店\n买点东西吗？
0000000000000,燕,別に構わん。\n待っていてやるから、早く行ってこい。,无所谓。\n我会在这儿等着，快去快回。
0000000000000,{user},では失礼して、\nあそこのコンビニに……ん？,那我失陪一下，\n去那边的便利店……咦？
0000000000000,{user},行列が……そうか、\n今日はくじ百番の発売日でしたね。,排着队呢……对了，\n今天是百元抽奖的发售日呢。
0000000000000,燕,たしか、外れがない\n百本のくじだったな。,记得是百发百中\n没有空奖的抽签来着。
0000000000000,{user},一等は、ロボットアニメの\nフィギュアですね。,一等奖是机器人动画的\n手办呢。
0000000000000,燕,な、なんだと……,什、什么……
select,,引きますか？,要抽吗？
select,,買い物は\n諦めます,放弃购物
0000000000000,{user},購入枚数が制限されてますし、\n今並べば、確実に買えますよ。,购买张数有限制，\n现在排队的话肯定能买到哦。
0000000000000,燕,べ、別に私は、\n一等の景品に興味はないが……,我、我才不是\n对一等奖品感兴趣……
0000000000000,燕,何事も経験だ。\n引いてみようではないか！,凡事都要体验。\n何不试着抽一次呢！
0000000000000,{user},この行列では、\n買い物に時間がかかりますね。,照这个队伍来看，\n购物会很费时间呢。
0000000000000,{user},別の場所に行きましょうか。,要去别的地方吗？
0000000000000,燕,そ、そうか。,这、这样啊。
0000000000000,燕,まあ、私は景品に\n興味などないし、一向に構わんがな。,反正我对奖品\n又没兴趣，完全无所谓啦。
0000000000000,燕,…………,…………
0000000000000,{user},（残念そうだ。もしかして、\nくじを引きたかったのか？）,（看起来好遗憾。难不成，\n其实是想抽奖的吗？）
info,adv_pevent_001_atbm_activity_018-01.txt,,
译者,,,
