id,name,text,trans
0000000000000,燕,ふむ。この辺りなら、\nゆっくりできそうだ。,嗯。这一带的话，\n似乎能悠闲度过呢。
0000000000000,{user},お弁当を用意してきました。\nどうぞ召し上がってください。,我准备了便当。\n请用吧。
0000000000000,燕,……相変わらず、不気味なくらいに\nなんでも用意しているな。,……还是老样子，简直诡异到\n什么都准备周全了啊。
0000000000000,燕,……ん？\nこのお握りは……,……嗯？\n这个饭团是……
select,,三色お握りです,是三色饭团
select,,梅お握りです,是梅子饭团
select,,カルボナーラ\nお握りです,是Carbonara\n风味饭团
0000000000000,燕,ほう、\n貴様にしては洒落た趣向だな。,嚯，\n你这家伙倒是挺有风雅情趣嘛。
0000000000000,{user},飲み物も奮発して、玉露にしました。,饮料也下了血本，准备了玉露茶。
0000000000000,燕,至れり尽くせりだな。,真是无微不至啊。
0000000000000,燕,今日の礼だ。今度は私が、\n弁当を用意してやる。,这是今天的谢礼。下次由我来\n准备便当。
0000000000000,燕,ふっ、梅を選ぶとは、\n分かっているじゃないか。,哼，选择了梅子口味，\n你小子还挺懂行的嘛。
0000000000000,燕,お握りと梅干し。ふたつの和食文化が\n融合し、さらなる高みに……,饭团与梅干。两种和食文化\n相互融合，臻至更高境界……
0000000000000,{user},梅干しに含まれるクエン酸は、\n疲労回復に最適ですから。,因为梅干中含有的柠檬酸\n最适合消除疲劳。
0000000000000,燕,（……本当にこいつは、\n空気が読めん男だな）,（……这家伙真是\n个不会看气氛的男人啊）
0000000000000,燕,……お握りといえば、\n王道の梅か鮭だと思うが？,……说到饭团的话，\n我觉得王道还是梅子或鲑鱼吧？
0000000000000,{user},騙されたと思って、おひとつどうぞ。\n文句は食べてからで。,就当是上当受骗，请尝一个吧。\n有意见等吃完再说。
0000000000000,燕,いいだろう。そこまで言うなら、\n食べてやろうではないか。,好吧。既然说到这个份上，\n我就尝尝看吧。
0000000000000,燕,……ふんっ！　不味くはないが、\nやはりお握りは梅か鮭だな。,……哼！虽然不算难吃，\n但饭团果然还是梅子或鲑鱼最合适。
0000000000000,{user},（完食している……どうやら、\n気に入ってくれたようだ）,（全都吃完了……看来\n他相当中意呢）
info,adv_pevent_001_atbm_activity_020.txt,,
译者,,,
