id,name,text,trans
0000000000000,燕,怪人どもが現れたか！\n皆で声を出し、ヒーローを呼ぶぞ！,怪人们出现了吗！\n大家一起喊出声，呼唤英雄吧！
0000000000000,燕,この後の段取りは……ん？\n貴様か。,之后的安排是……嗯？\n是你啊。
0000000000000,燕,どうだ、\n完璧な進行だっただろう！,怎么样，\n堪称完美的推进吧！
select,,自ら怪人を\n成敗しそうでした,差点就要亲自\n制裁怪人了
select,,すごい\n迫力でした,真是\n气势十足呢
select,,応援団の\nようでした,简直像是\n啦啦队一样
0000000000000,燕,それは面白そうだな。\n竹刀もあるし、相談してみるか。,听起来挺有意思的。\n竹刀也有，要不试着去辅导一下？
0000000000000,{user},雨夜さんに引っ張られて、\n子供たちも大興奮だった！,被雨夜同学带动着，\n孩子们也都兴奋极了！
0000000000000,燕,ふっ、悪を討つヒーローを呼ぶのだ。\nこれぐらい当然だろう。,哼，这是在呼唤讨伐邪恶的英雄。\n这种程度是理所当然的吧。
0000000000000,{user},雨夜さんに引っ張られて、\n子供たちも大興奮だった！,被雨夜同学带动着，\n孩子们也都兴奋极了！
0000000000000,燕,子供たちと共にヒーローの応援か。\nそれもいいかもしれん。,和孩子们一起为英雄应援吗。\n那样或许也不错。
0000000000000,{user},雨夜さんに引っ張られて、\n子供たちも大興奮だった！,被雨夜同学带动着，\n孩子们也都兴奋极了！
info,adv_pevent_002_atbm_sales_1-004-02.txt,,
译者,,,
