id,name,text,trans
0000000000000,{user},（今日の仕事は遊園地のショーの\n進行役だ。リハーサルの様子は……）,（今天的工作是担任游园地演出的\n主持人。彩排的情况是……）
0000000000000,美鈴,まあ……悪い人たちがたくさん。,哎呀……坏人可真多呢。
0000000000000,美鈴,みなさんで、\nヒーローの助けを呼びましょう。,大家一起\n呼唤英雄来帮忙吧。
select,,子どもも安心の\n演技ですね,能让孩子们安心的\n表演呢
select,,助けが必要な\n気がしませんね,感觉不太需要\n帮忙呢
select,,もう少し緊迫感が\nほしいですね,希望能再增加些\n紧张感
0000000000000,美鈴,子どもたちを不安にさせては\nかわいそうですから。,要是让孩子们感到不安\n就太可怜了。
0000000000000,{user},子どもたちも盛り上がっていたし、\n秦谷さんらしさも出ていたな……！,孩子们都很兴奋，\n也展现了秦谷同学的特色呢……！
0000000000000,美鈴,まあ……そんなことを言わずに。\n必要なときは、助けにきてくださいね。,好啦……别这么说。\n需要帮助的时候，请随时叫我哦。
0000000000000,{user},子どもたちも盛り上がっていたし、\n秦谷さんらしさも出ていたな……！,孩子们都很兴奋，\n也展现了秦谷同学的特色呢……！
0000000000000,美鈴,物足りませんか？　では……\nもう少しだけ、やってみましょうか。,觉得不够尽兴吗？那么……\n我们再稍微加演一段吧。
0000000000000,{user},子どもたちも盛り上がっていたし、\n秦谷さんらしさも出ていたな……！,孩子们都很兴奋，\n也展现了秦谷同学的特色呢……！
info,adv_pevent_002_hmsz_sales_1-004-02.txt,,
译者,,,
