id,name,text,trans
0000000000000,{user},清夏さん、身体の柔らかさに\n自信はありますか？,清夏同学，对自己的身体柔软度\n有信心吗？
0000000000000,清夏,あたし、I字バランスできるよ～？,我呀～可以做到I字平衡哦～？
select,,無用な心配\nでした,看来是多余的担心\n了呢
select,,では上級コースで,那就上高级课程吧
select,,鳩のポーズは\nできますか？,能做到鸽子式吗？
0000000000000,清夏,でしょ？　まあゼ～ンブ\nあたしに任せといて♪,对吧？反正全～部\n交给我就好啦♪
0000000000000,{user},柔軟な身体だ。\n本当に簡単そうにやるな……,身体真柔软呢。\n看起来做得毫不费力……
0000000000000,清夏,インストラクターの人がいいなら\nそっちのが楽しそーだね。,要是教练觉得可以的话\n那边好像更有趣呢。
0000000000000,{user},柔軟な身体だ。\n本当に簡単そうにやるな……,身体真柔软呢。\n看起来做得毫不费力……
0000000000000,清夏,あー、まあできるんじゃない？\nやってみよっか？,啊～大概能做到吧？\n要试试看吗？
0000000000000,{user},柔軟な身体だ。\n本当に簡単そうにやるな……,身体真柔软呢。\n看起来做得毫不费力……
info,adv_pevent_002_ssmk_sales_3-004-01.txt,,
译者,,,
