id,name,text,trans
0000000000000,{user},お疲れ様でした。雨夜さんは……,辛苦你了。雨夜同学她……
0000000000000,{user},不合格でした。,不合格。
0000000000000,燕,…………なん、だと……！？,…………你、你说什么……！？
0000000000000,燕,この私が、中間試験ごときで！？,我这样的天才，居然会在期中考试失手！？
0000000000000,{user},ごとき、なんて言っているから、\nそうやって負けるんですよ。,就是因为总说这种程度，\n才会这样落败的啊。
0000000000000,燕,なんという無様だ、雨夜燕！,何等狼狈的模样，雨夜燕！
select,,さっそく\n反省会です,立刻开始\n反省会
select,,不調でしたね,状态不太好啊
select,,相手も強かった\nですね,对手也确实\n很强呢
0000000000000,燕,確かに、ミスは多かった……,确实，失误有点多……
0000000000000,{user},どうしたらミスを減らせるか、\n一緒に考えていきましょう。,让我们一起来思考\n如何减少失误吧。
0000000000000,燕,むぅ、貴様を頼りたくはないが……,哼，虽然不想依靠你这家伙……
0000000000000,燕,背に腹は代えられん。\nよろしく頼む。,迫不得已。\n拜托了。
0000000000000,燕,……そうだな。,……说得对。
0000000000000,燕,体調管理を万全にしていなかった。\n私の落ち度だ。,没有做好完善的健康管理。\n这是我的疏忽。
0000000000000,{user},これからは、ちゃんと\n報告してくださいね。,从今往后要好好\n汇报情况哦。
0000000000000,燕,……すまない。,……抱歉。
0000000000000,燕,中間試験ぐらいなら、\n問題ないと思っていたのだ。,我以为只是期中考试的话，\n应该没问题的。
0000000000000,燕,反省している。,我正在反省。
0000000000000,燕,……だが、本来の実力なら、\n自惚れではなく、私の方が上だ。,……但若论真实实力，并非自负，\n确实是我更胜一筹。
0000000000000,{user},その通りです。あなたが負けたのは、\nその実力を発揮できなかったから。,正是如此。你会输，是因为\n没能发挥出真正的实力。
0000000000000,燕,ぬぅ……認めたくないがな。,呜……虽然很不甘心，但确实如此。
0000000000000,{user},反省点を認めてください。\nそうでなければ、前に進めませんよ。,请承认自己的不足之处。\n否则的话，是无法继续前进的。
0000000000000,燕,フン……次は必ず、私が勝つ！,哼……下次我一定会赢！
info,adv_pstory_001_atbm_after-audition-mid-failure-01.txt,,
译者,,,
