id,name,text,trans
0000000000000,燕,……………………,……………………
0000000000000,{user},雨夜さん、そろそろ出番です。,雨夜同学，差不多该你出场了。
0000000000000,燕,む、そうか。,嗯，知道了。
0000000000000,{user},何を聴いていたんですか？,刚才在听什么？
0000000000000,燕,普段のルーティーンでは、環境音を\n聴いて心を落ち着かせるのだが、,平常的固定流程是听环境音\n来让心情平静下来，
0000000000000,燕,今回は心を昂らせた方がいいと見て、\nEDMを聴いていた。,但这次判断应该让情绪高涨些，\n所以在听EDM。
0000000000000,{user},調整は万全のようですね。,看来调整得很完美呢。
0000000000000,燕,うむ。いよいよ最終試験か。,嗯。终于要到最终考试了。
select,,気分はどう\nですか？,心情如何\n？
select,,落ち着いて\nいますね,看起来很平静\n呢
select,,終わったらご飯に\n行きましょう,结束后一起去\n吃饭吧
0000000000000,燕,いつも通り……と言いたいところだが、\n不思議な高揚感があるな。,虽然想说是和平常一样……\n但有种不可思议的兴奋感呢。
0000000000000,{user},ワクワクしているんですよ。,我现在很期待呢。
0000000000000,燕,フッ、そのようだ。\n成長している実感があるからな。,呵，确实如此。\n因为能切实感受到自己的成长。
0000000000000,{user},楽しんできてください。,请好好享受。
0000000000000,燕,ああ。期待しておけ。,啊。等着看吧。
0000000000000,燕,3年生だからな。,毕竟是三年级了。
0000000000000,燕,中等部から数えると、\nもう6年もやっている。,从初中部开始算的话，\n已经做了6年。
0000000000000,燕,流石に、試験も慣れたものだ。,到底是对考试习以为常了。
0000000000000,{user},頑張ってきてください。,请加油。
0000000000000,燕,ああ、任せておけ。,啊，交给我吧。
0000000000000,燕,ノリが軽くないか！？,你这态度是不是太随便了点！？
0000000000000,燕,これは最終試験だぞ！？\nもっとこう……なにか、あるだろう！,这可是最终考试啊！？\n应该更…那个点吧！总该有点什么特别的表示吧！
0000000000000,燕,担当アイドルを送り出すのに、\n相応しい言葉が！,在送担当偶像出场时，\n应该要有相称的祝福语才对！
0000000000000,{user},変に緊張感を出すのも\nよくないかと思って……,我觉得刻意营造紧张感…\n也不太合适……
0000000000000,燕,気が抜けることを言うのも\nよくないだろうが！,但说些让人泄气的话\n更不应该吧！
0000000000000,{user},大丈夫ですよ、雨夜さんなら。,没问题的，既然是雨夜同学的话。
0000000000000,燕,最初からそう言えばいいものを……,一开始这么说不就好了……
0000000000000,燕,まあいい。\n貴様の期待に、応えてやろう。,也罢。\n就让我来回应你的期待吧。
info,adv_pstory_001_atbm_before-audition-final-normal-01.txt,,
译者,,,
