sample_id,source_file,source_row,source_kind,chapter,scene,context,context_translation,context_line_count,response,response_translation,response_len,speaker
00000001,CSV/cidol/amao/adv_cidol-amao-3-001_03.csv,4,cidol,cidol/amao,adv_cidol-amao-3-001_03,"麻央: ことね、もっと右、右だよ――
ことね: ええっ、こっちですかぁ？
清夏: ちょ、ことねっち、
スイカは右だってば、危ないって～！","麻央: 琴音，再往右、右边啦——
琴音: 诶、是这边吗～？
清夏: 喂喂小琴音！
西瓜在右边啦，很危险的说～！",3,"こら～っ！ みんな、
わたしの歌を聴きなさーいっ！","给我听好～！大家
都来听我唱歌啊～！",25,咲季
00000002,CSV/cidol/fktn/adv_cidol-fktn-3-000_02.csv,9,cidol,cidol/fktn,adv_cidol-fktn-3-000_02,"ことね: 『できるできるできる、そうだ』
ことね: 『信じてくれる人がいる』
ねぇ……
ことね: そー簡単にできないってぇ……
いまいちシンクロできないぃ……","琴音: 『能做到能做到能做到，没错』
琴音: 『因为有相信着我的人』
对吧……
琴音: 才没那么简单呢……
总觉得无法产生共鸣啊……",3,"ことね！ 悩んでいるようね！ 
お姉ちゃんが聞いてあげましょうか？","琴音！ 看你很烦恼呢！
让姐姐来听听看吗？",33,咲季
00000003,CSV/cidol/fktn/adv_cidol-fktn-3-000_02.csv,11,cidol,cidol/fktn,adv_cidol-fktn-3-000_02,"ことね: そー簡単にできないってぇ……
いまいちシンクロできないぃ……
咲季: ことね！ 悩んでいるようね！ 
お姉ちゃんが聞いてあげましょうか？
ことね: あー、どうすりゃいーんだぁ～……","琴音: 才没那么简单呢……
总觉得无法产生共鸣啊……
咲季: 琴音！ 看你很烦恼呢！
让姐姐来听听看吗？
琴音: 啊～到底该怎么办才好啊～……",3,すぅ…………,呼…………,6,咲季
00000004,CSV/cidol/fktn/adv_cidol-fktn-3-000_02.csv,12,cidol,cidol/fktn,adv_cidol-fktn-3-000_02,"咲季: ことね！ 悩んでいるようね！ 
お姉ちゃんが聞いてあげましょうか？
ことね: あー、どうすりゃいーんだぁ～……
咲季: すぅ…………","咲季: 琴音！ 看你很烦恼呢！
让姐姐来听听看吗？
琴音: 啊～到底该怎么办才好啊～……
咲季: 呼…………",3,ことね～～～～～～～っ！！,琴音～～～～～～～！！,13,咲季
00000005,CSV/cidol/fktn/adv_cidol-fktn-3-000_02.csv,15,cidol,cidol/fktn,adv_cidol-fktn-3-000_02,"咲季: ことね～～～～～～～っ！！
ことね: うひゃあ！？
ことね: さ、咲季ぃ～～！
びっくりしたじゃん！","咲季: 琴音～～～～～～～！！
琴音: 哇呀！？
琴音: 咲、咲季～～！
吓死人家啦！",3,"わたしを無視するからよ。……ふーん、
なにを聴いているのかと思ったら。","谁让你无视我。……哼，
我还在听你在听什么呢。",35,咲季
00000006,CSV/cidol/fktn/adv_cidol-fktn-3-000_02.csv,16,cidol,cidol/fktn,adv_cidol-fktn-3-000_02,"ことね: うひゃあ！？
ことね: さ、咲季ぃ～～！
びっくりしたじゃん！
咲季: わたしを無視するからよ。……ふーん、
なにを聴いているのかと思ったら。","琴音: 哇呀！？
琴音: 咲、咲季～～！
吓死人家啦！
咲季: 谁让你无视我。……哼，
我还在听你在听什么呢。",3,"よさそうな曲じゃない。
あ、それが歌詞？","好像是首不错的曲子呢。
啊，这是歌词吗？",20,咲季
00000007,CSV/cidol/fktn/adv_cidol-fktn-3-000_02.csv,17,cidol,cidol/fktn,adv_cidol-fktn-3-000_02,"ことね: さ、咲季ぃ～～！
びっくりしたじゃん！
咲季: わたしを無視するからよ。……ふーん、
なにを聴いているのかと思ったら。
咲季: よさそうな曲じゃない。
あ、それが歌詞？","琴音: 咲、咲季～～！
吓死人家啦！
咲季: 谁让你无视我。……哼，
我还在听你在听什么呢。
咲季: 好像是首不错的曲子呢。
啊，这是歌词吗？",3,ふんふん……,嗯嗯……,6,咲季
00000008,CSV/cidol/fktn/adv_cidol-fktn-3-000_02.csv,19,cidol,cidol/fktn,adv_cidol-fktn-3-000_02,"咲季: よさそうな曲じゃない。
あ、それが歌詞？
咲季: ふんふん……
ことね: ったく……で？ 感想は？","咲季: 好像是首不错的曲子呢。
啊，这是歌词吗？
咲季: 嗯嗯……
琴音: 真是的……所以？感想呢？",3,"ことねにしか歌えない、
ことねらしい曲だと思うわ。","我觉得这是只有琴音能唱，
充满琴音风格的曲子哦。",25,咲季
00000009,CSV/cidol/fktn/adv_cidol-fktn-3-000_02.csv,22,cidol,cidol/fktn,adv_cidol-fktn-3-000_02,"咲季: ことねにしか歌えない、
ことねらしい曲だと思うわ。
ことね: そこまで言う～？ 確かにあたしは、
世界一可愛いけどさぁ～。
ことね: いまいち歌に自分を重ねられなくて、
困ってるんですけどぉ～？","咲季: 我觉得这是只有琴音能唱，
充满琴音风格的曲子哦。
琴音: 有这么夸张～？虽然我确实是
世界第一可爱啦～。
琴音: 我总是没法把感情融入歌曲里，
正在发愁呢～？",3,"あなたが歌に合わせる
必要なんてないでしょ。","你根本不需要
刻意去配合歌曲啊。",22,咲季
00000010,CSV/cidol/fktn/adv_cidol-fktn-3-000_02.csv,23,cidol,cidol/fktn,adv_cidol-fktn-3-000_02,"ことね: そこまで言う～？ 確かにあたしは、
世界一可愛いけどさぁ～。
ことね: いまいち歌に自分を重ねられなくて、
困ってるんですけどぉ～？
咲季: あなたが歌に合わせる
必要なんてないでしょ。","琴音: 有这么夸张～？虽然我确实是
世界第一可爱啦～。
琴音: 我总是没法把感情融入歌曲里，
正在发愁呢～？
咲季: 你根本不需要
刻意去配合歌曲啊。",3,"ありのままで歌いなさいよ。
自分の歌なんだから。","按照自己的方式唱就好了。
因为这是属于你自己的歌。",24,咲季
00000011,CSV/cidol/fktn/adv_cidol-fktn-3-000_02.csv,25,cidol,cidol/fktn,adv_cidol-fktn-3-000_02,"咲季: あなたが歌に合わせる
必要なんてないでしょ。
咲季: ありのままで歌いなさいよ。
自分の歌なんだから。
ことね: んんんん…………でもさー。","咲季: 你根本不需要
刻意去配合歌曲啊。
咲季: 按照自己的方式唱就好了。
因为这是属于你自己的歌。
琴音: 唔唔唔…………但是啊。",3,"納得できない？ じゃあ、
もう少し言わせてもらうけど。","还是不能接受？那让我
再多说两句好了。",27,咲季
00000012,CSV/cidol/fktn/adv_cidol-fktn-3-000_02.csv,26,cidol,cidol/fktn,adv_cidol-fktn-3-000_02,"咲季: ありのままで歌いなさいよ。
自分の歌なんだから。
ことね: んんんん…………でもさー。
咲季: 納得できない？ じゃあ、
もう少し言わせてもらうけど。","咲季: 按照自己的方式唱就好了。
因为这是属于你自己的歌。
琴音: 唔唔唔…………但是啊。
咲季: 还是不能接受？那让我
再多说两句好了。",3,"『世界で一番可愛い』を自称してる
アイドルって、きっと他にもいるわ。","自称『世界第一可爱』的
偶像，肯定大有人在吧。",34,咲季
00000013,CSV/cidol/fktn/adv_cidol-fktn-3-000_02.csv,27,cidol,cidol/fktn,adv_cidol-fktn-3-000_02,"ことね: んんんん…………でもさー。
咲季: 納得できない？ じゃあ、
もう少し言わせてもらうけど。
咲季: 『世界で一番可愛い』を自称してる
アイドルって、きっと他にもいるわ。","琴音: 唔唔唔…………但是啊。
咲季: 还是不能接受？那让我
再多说两句好了。
咲季: 自称『世界第一可爱』的
偶像，肯定大有人在吧。",3,"アイドルならみんな、そのくらいの
自信を持っているものでしょ？","既然是偶像，大家多少
都有这种自信不是吗？",31,咲季
00000014,CSV/cidol/fktn/adv_cidol-fktn-3-000_02.csv,28,cidol,cidol/fktn,adv_cidol-fktn-3-000_02,"咲季: 納得できない？ じゃあ、
もう少し言わせてもらうけど。
咲季: 『世界で一番可愛い』を自称してる
アイドルって、きっと他にもいるわ。
咲季: アイドルならみんな、そのくらいの
自信を持っているものでしょ？","咲季: 还是不能接受？那让我
再多说两句好了。
咲季: 自称『世界第一可爱』的
偶像，肯定大有人在吧。
咲季: 既然是偶像，大家多少
都有这种自信不是吗？",3,"わたしだって、自分の方が
ことねよりも可愛いって思ってるし。","就连我也觉得
自己比琴音更可爱呢。",30,咲季
